Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,Cloud

25/02/2022,8.9,17.5,0.4,0.0,1026.6,329,5,2
24/02/2022,6.0,11.5,0.4,0.0,1031.9,308,5,2
23/02/2022,3.4,5.1,1.7,0.5,1034.2,165,4,2
22/02/2022,4.2,6.6,1.7,6.3,1033.0,353,6,2
21/02/2022,4.2,6.6,1.7,0.6,1032.1,51,4,2
20/02/2022,4.4,6.1,2.7,0.0,1032.6,6,9,2
19/02/2022,4.6,6.1,3.1,0.0,1029.5,0,11,2
18/02/2022,4.6,6.1,3.1,8.0,1024.4,43,5,2
17/02/2022,7.3,10.7,4.0,10.9,1024.7,31,11,2
16/02/2022,9.7,13.6,5.8,3.7,1022.7,80,10,2
15/02/2022,9.7,13.6,5.8,0.0,1023.0,19,5,2
14/02/2022,8.2,10.1,6.3,0.0,1024.7,38,5,2
13/02/2022,8.9,10.8,7.1,13.9,1021.7,102,4,2
12/02/2022,9.1,11.9,6.2,2.7,1021.4,55,4,2
11/02/2022,8.5,11.9,5.1,11.4,1021.4,5,4,2
10/02/2022,7.6,10.5,4.7,9.4,1023.1,29,5,2
09/02/2022,6.6,8.9,4.3,4.0,1024.1,27,4,2
08/02/2022,6.2,8.9,3.5,1.3,1027.2,100,5,2
07/02/2022,5.6,7.7,3.5,18.9,1023.7,35,5,2
06/02/2022,6.3,10.5,2.2,6.3,1028.4,46,5,2
05/02/2022,6.3,10.5,2.2,0.0,1031.2,28,6,2
